	Unicode-Hindi	Hindi	Unicode-Punjabi	Punjabi	Unicode-Gujarati	Gujarati	Unicode-Marathi	Marathi	Unicode-Kannada	Kannada	Unicode-Telugu	Telugu	Unicode-Tamil	Tamil	Unicode-Malayalam	Malayalam	Unicode-Oriya	Oriya	Unicode-Assamese	Assamese	Unicode-Bengali	Bengali
v	0x935	व	0xA35	ਵ	0xAB5	વ	0x935	व	0xCB5	ವ 	0xC35	వ	0xBB5	வ 	0D35	വ	0x0B71	ୱ	0x9F1	ৱ	0x9F1	ৱ
S	0x936	श	0xA36	ਸ਼	0xAB6	શ	0x936	श	0xCB6	ಶ 	0xC36	శ	0xBB6	ஶ	0D36	ശ	0x0B36	ଶ	0x9B6	শ	0x9B6	শ
Hs	0x937	ष	0xA37	-	0xAB7	ષ	0x937	ष	0xCB7	ಷ	0xC37	ష	0xBB7	ஷ 	0D37	ഷ	0x0B37	ଷ	0x9B7	ষ	0x9B7	ষ
s	0x938	स	0xA38	ਸ	0xAB8	સ	0x938	स	0xCB8	ಸ	0xC38	స	0xBB8	ஸ	0D38	സ	0x0B38	ସ	0x9B8	স	0x9B8	স
h	0x939	ह	0xA39	ਹ	0xAB9	હ	0x939	ह	0xCB9	ಹ	0xC39	హ	0xBB9	ஹ 	0D39	ഹ	0x0B39	ହ	0x9B9	হ	0x9B9	হ
	0x93C	़	0xA3C		0xABC	઼	0x93C	़	0xCBC	-	0xC3C		0xBBC				0x0B3C	଼	0x9BC	়	0x9BC	়
	0x93D		0xA3D		0xABD	ઽ	0x93D		0xCBD	ಽ	0xC3D	ఽ	0xBBD				0x0B3D	-	0x9BD	-	0x9BD	-
A	0x93E	ा	0xA3E	ਾ	0xABE	ા	0x93E	ा	0xCBE	ಾ	0xC3E	ా	0xBBE	 ா	0D3E	ാ	0x0B3E	ା	0x9BE	া	0x9BE	া
i	0x93F	ि	0xA3F	ਿ	0xABF	િ	0x93F	ि	0xCBF	ಿ	0xC3F	ి	0xBBF	 ி	0D3F	ി	0x0B3F	ି	0x9BF	ি	0x9BF	ি
I	0x940	ी	0xA40	ੀ	0xAC0	ી	0x940	ी	0xCC0	ೀ	0xC40	ీ	0xBC0	 ீ	0D40	ീ	0x0B40	ୀ	0x9C0	ী	0x9C0	ী
u	0x941	ु	0xA41	ੁ	0xAC1	ુ	0x941	ु	0xCC1	ು	0xC41	ు	0xBC1	 ு	0D41	ു	0x0B41	ୁ	0x9C1	ু	0x9C1	ু
U	0x942	ू	0xA42	ੂ	0xAC2	ૂ	0x942	ू	0xCC2	ೂ	0xC42	ూ	0xBC2	 ூ	0D42	ൂ	0x0B42	ୂ	0x9C2	ু	0x9C2	ু
WR	0x943	ृ	0xA43		0xAC3	ૃ	0x943	ृ	0xCC3	ೃ	0xC43	ృ	0xBC3	-			0x0B43	ୃ	0x9C3	ৃ	0x9C3	ৃ
WA	0x945	ॅ	0xA45		0xAC4	ૄ	0x945	ॅ	0xCC5	-	0xC45	-	0xBC5	-			0x0B45	-	0x9C5	-	0x9C5	-
e	0x946	ॆ	0xA46		0xAC5	ૅ	0x946		0xCC6	ೆ	0xC46	ె	0xBC6	 ெ	OD46	െ	0x0B46	-	0x9C6	-	0x9C6	-
E	0x947	े	0xA47	ੇ	0xAC7	ે	0x947	े	0xCC7	ೇ	0xC47	ే	0xBC7	 ே	OD47	േ	0x0B47	େ	0x9C7	ে	0x9C7	ে
YE	0x948	ै	0xA48	ੈ	0xAC8	ૈ	0x948	ै	0xCC8	ೈ	0xC48	ై	0xBC8	 ை		ൈ	0x0B48	ୈ	0x9C8	ৈ	0x9C8	ৈ
WO	0x949	ॉ	0xA49				0x949	ॉ	0xCC9	-	0xC49	-	0xBC9	-			0x0B49	-	0x9C9	-	0x9C9	-
o	0x94A	ॊ	0xA4A		0xAC9	ૉ	0x94A		0xCCA	ೊ	0xC4A	ొ	0xBCA	 ொ	0D4A	ൊ	0x0B4A	-	0x2019	’	0x2019	’
O	0x94B	ो	0xA4B	ੋ	0xACB	ો	0x94B	ो	0xCCB	ೋ	0xC4B	ో	0xBCB	 ோ	0D4B	ോ	0x0B4B	ୋ	0x9CB	ো	0x9CB	ো
YO	0x94C	ौ	0xA4C	ੌ	0xACC	ૌ	0x94C	ौ	0xCCC	ೌ	0xC4C	ౌ	0xBCC	 ௌ			0x0B4C	ୌ	0x9CC	ৌ	0x9CC	ৌ
q	0x94D	्	0xA4D		0xACD	્	0x94D	् 	0xCCD	್	0xC4D	్	0xBCD	 ்		്	0x0B4D	୍	0x9CD	্	0x9CD	্
Fk	0x958	क़	0xA58	-			0x958		0xCD8	-	0xC58	ౘ	0xBD8				0x0B58	-	0x9D8	-	0x9D8	-
FK	0x959	ख़	0xA59	ਖ਼			0x959		0xCD9	-	0xC59	ౙ	0xBD9				0x0B59	-	0x9D9	-	0x9D9	-
Fg	0x95A	ग़	0xA5A	ਗ਼			0x95A		0xCDA	-	0xC5A	ౚ	0xBDA				0x0B5A	-	0x9DA	-	0x9DA	-
Fj	0x95B	ज़	0xA5B	ਜ਼			0x95B	ज़	0xCDB	-	0xC5B	-	0xBDB				0x0B5B	-	0x9DB	-	0x9DB	-
Fd	0x95C	ड़	0xA5C	ੜ			0x95C	ड़	0xCDC	-	0xC5C	-	0xBDC				0x0B5C	ଡ଼	0x9DC	ড়	0x9DC	ড়
HR	0x95D	ढ़	0xA5D				0x95D	ढ़	0xCDD	-	0xC5D	-	0xBDD		0D43	ൃ	0x0B5D	ଢ଼	0x9DD	ঢ়	0x9DD	ঢ়
FP	0x95E	फ़	0xA5E	ਫ਼			0x95E	फ़	0xCDE	ೞ	0xC5E	-	0xBDE				0x0B5E	-	0x9DE	-	0x9DE	-
Fy	0x95F	य़	0xA5F	-			0x95F		0xCDF	-	0xC5F	-	0xBDF				0x0B2F	ଯ	0x9DF	য়	0x9DF	য়
YN	0x970		0xA70	ੰ																-		-
HH	0x971		0xA71	ੱ																-		-
